date,home_team,away_team,winner,first_shooter
2016-06-17,Peru,Colombia,Colombia,Colombia
2016-06-18,Namibia,Botswana,Botswana,Unknown
2016-06-18,South Africa,Lesotho,South Africa,Unknown
2016-06-19,Zambia,Eswatini,Eswatini,Unknown
2016-06-22,Botswana,DR Congo,Botswana,Unknown
2016-06-25,Switzerland,Poland,Poland,Switzerland
2016-06-26,Argentina,Chile,Chile,Chile
2016-06-30,Poland,Portugal,Portugal,Portugal
2016-07-02,Germany,Italy,Germany,Italy
2016-08-01,Felvidék,Kárpátalja,Felvidék,Unknown
2016-11-12,Nepal,Laos,Nepal,Unknown
2016-11-12,Macau,Brunei,Macau,Brunei
2017-01-11,Chile,Croatia,Chile,Unknown
2017-01-14,China,Croatia,China,Unknown
2017-01-28,Senegal,Cameroon,Cameroon,Senegal
2017-02-01,Burkina Faso,Egypt,Egypt,Egypt
2017-06-09,Kárpátalja,Ellan Vannin,Kárpátalja,Unknown
2017-06-09,Padania,Abkhazia,Padania,Unknown
2017-06-10,Northern Cyprus,Padania,Padania,Unknown
2017-06-28,Portugal,Chile,Chile,Chile
2017-06-29,Hitra,Western Isles,Western Isles,Unknown
2017-06-29,Greenland,Menorca,Greenland,Unknown
2017-07-01,Namibia,Lesotho,Lesotho,Unknown
2017-07-07,Tanzania,Lesotho,Tanzania,Unknown
2017-07-16,Thailand,Belarus,Thailand,Unknown
2018-03-21,South Africa,Angola,South Africa,Unknown
2018-03-21,Zambia,Zimbabwe,Zambia,Unknown
2018-03-22,Thailand,Gabon,Thailand,Unknown
2018-03-24,Angola,Zimbabwe,Angola,Unknown
2018-06-02,Zambia,Namibia,Zambia,Unknown
2018-06-03,Andorra,Cape Verde,Cape Verde,Unknown
2018-06-03,South Africa,Madagascar,Madagascar,Unknown
2018-06-03,Zimbabwe,Botswana,Zimbabwe,Unknown
2018-06-05,Matabeleland,Kabylia,Kabylia,Unknown
2018-06-06,Lesotho,Zimbabwe,Zimbabwe,Unknown
2018-06-09,Tibet,United Koreans in Japan,United Koreans in Japan,Unknown
2018-06-09,Panjab,Cascadia,Panjab,Unknown
2018-06-09,Padania,Székely Land,Padania,Unknown
2018-06-09,Northern Cyprus,Kárpátalja,Kárpátalja,Unknown
2018-07-01,Russia,Spain,Russia,Spain
2018-07-01,Croatia,Denmark,Croatia,Denmark
2018-07-03,Colombia,England,England,Colombia
2018-07-07,Russia,Croatia,Croatia,Russia
2019-01-20,Jordan,Vietnam,Vietnam,Vietnam
2019-01-21,Australia,Uzbekistan,Australia,Australia
2019-03-23,Oman,Singapore,Oman,Unknown
2019-05-11,Guernsey,Jersey,Jersey,Unknown
2019-06-01,Lesotho,Uganda,Lesotho,Unknown
2019-06-02,South Africa,Botswana,Botswana,Unknown
2019-06-02,Zambia,Malawi,Zambia,Unknown
2019-06-04,South Africa,Uganda,South Africa,Unknown
2019-06-05,Zimbabwe,Zambia,Zambia,Unknown
2019-06-06,Abkhazia,Western Armenia,Western Armenia,Unknown
2019-06-06,South Ossetia,Chameria,South Ossetia,Unknown
2019-06-07,Lesotho,Zimbabwe,Zimbabwe,Unknown
2019-06-07,South Africa,Malawi,South Africa,Unknown
2019-06-08,Abkhazia,Chameria,Abkhazia,Unknown
2019-06-09,Switzerland,England,England,England
2019-06-27,Brazil,Paraguay,Brazil,Paraguay
2019-06-28,Colombia,Chile,Chile,Colombia
2019-06-29,Mexico,Costa Rica,Mexico,Mexico
2019-06-29,Uruguay,Peru,Peru,Uruguay
2019-07-05,Morocco,Benin,Benin,Benin
2019-07-07,Madagascar,DR Congo,Madagascar,Madagascar
2019-07-08,Ghana,Tunisia,Tunisia,Ghana
2019-07-11,Ivory Coast,Algeria,Algeria,Algeria
2019-07-28,Mauritius,Réunion,Réunion,Unknown
2019-09-08,Tanzania,Burundi,Tanzania,Tanzania
2019-10-13,Chad,Liberia,Chad,Unknown
2019-10-13,Gambia,Djibouti,Gambia,Unknown
2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland,Bosnia and Herzegovina
2020-10-08,Slovakia,Republic of Ireland,Slovakia,Slovakia
2020-10-08,Scotland,Israel,Scotland,Scotland
2020-11-12,Serbia,Scotland,Scotland,Scotland
2021-06-03,Mexico,Costa Rica,Mexico,Mexico
2021-06-06,Honduras,Costa Rica,Honduras,Costa Rica
2021-06-28,France,Switzerland,Switzerland,Switzerland
2021-07-02,Peru,Paraguay,Peru,Paraguay
2021-07-02,Switzerland,Spain,Spain,Spain
2021-07-03,Uruguay,Colombia,Colombia,Colombia
2021-07-06,Italy,Spain,Italy,Italy
2021-07-06,Trinidad and Tobago,French Guiana,Trinidad and Tobago,French Guiana
2021-07-06,Argentina,Colombia,Argentina,Colombia
2021-07-06,Guatemala,Guadeloupe,Guadeloupe,Guatemala
2021-07-11,England,Italy,Italy,Italy
2021-07-16,Senegal,Eswatini,Senegal,Eswatini
2021-07-18,Eswatini,Mozambique,Eswatini,Mozambique
2021-07-18,South Africa,Senegal,South Africa,South Africa
2021-11-19,Sri Lanka,Seychelles,Seychelles,Unknown
2021-12-11,Morocco,Algeria,Algeria,Algeria
2021-12-18,Qatar,Egypt,Qatar,Qatar
2022-01-23,Burkina Faso,Gabon,Burkina Faso,Gabon
2022-01-26,Ivory Coast,Egypt,Egypt,Ivory Coast
2022-01-26,Mali,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
2022-02-03,Cameroon,Egypt,Egypt,Cameroon
2022-02-05,Cameroon,Burkina Faso,Cameroon,Cameroon
2022-02-06,Senegal,Egypt,Senegal,Senegal
2022-03-25,Tajikistan,Uganda,Uganda,Unknown
2022-03-29,Kazakhstan,Moldova,Kazakhstan,Moldova
2022-03-29,Senegal,Egypt,Senegal,Senegal
2022-06-13,Australia,Peru,Australia,Australia
2022-06-14,Chile,Ghana,Ghana,Chile
2022-07-12,Zambia,Botswana,Zambia,Unknown
2022-07-13,South Africa,Mozambique,Mozambique,Unknown
2022-07-13,Senegal,Eswatini,Senegal,Unknown
2022-07-17,Mozambique,Senegal,Senegal,Unknown
2022-09-22,Thailand,Malaysia,Malaysia,Unknown
2022-09-23,Iraq,Oman,Oman,Unknown
2022-09-25,Malaysia,Tajikistan,Tajikistan,Unknown
2022-11-16,Lithuania,Iceland,Iceland,Lithuania
2022-11-16,Latvia,Estonia,Latvia,Latvia
2022-11-19,Latvia,Iceland,Iceland,Iceland
2022-12-05,Japan,Croatia,Croatia,Japan
2022-12-06,Morocco,Spain,Morocco,Morocco
2022-12-09,Croatia,Brazil,Croatia,Croatia
2022-12-09,Netherlands,Argentina,Argentina,Netherlands
2022-12-18,Argentina,France,Argentina,France
2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
2023-06-17,Guyana,Grenada,Guyana,Guyana
2023-06-17,Suriname,Puerto Rico,Puerto Rico,Suriname
2023-06-18,Croatia,Spain,Spain,Croatia
2023-06-20,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,French Guiana
2023-07-01,India,Lebanon,India,India
2023-07-04,India,Kuwait,India,India
2023-07-09,United States,Canada,United States,Canada
2023-07-09,Orkney,Greenland,Greenland,Unknown
2023-07-12,United States,Panama,Panama,United States
2023-07-13,Åland Islands,Falkland Islands,Åland Islands,Åland Islands
2023-07-14,Malawi,Lesotho,Lesotho,Unknown
2023-07-16,South Africa,Malawi,South Africa,Unknown
2023-09-07,Iraq,India,Iraq,India
2023-09-10,Thailand,Iraq,Iraq,Thailand
2023-10-13,Iraq,Qatar,Qatar,Qatar
2023-11-21,Mexico,Honduras,Mexico,Mexico
2023-12-02,Solomon Islands,New Caledonia,New Caledonia,Unknown
2024-01-28,Egypt,DR Congo,DR Congo,Egypt
2024-01-28,Tajikistan,United Arab Emirates,Tajikistan,Tajikistan
2024-01-29,Ivory Coast,Senegal,Ivory Coast,Senegal
2024-01-30,Saudi Arabia,South Korea,South Korea,Saudi Arabia
2024-01-31,Iran,Syria,Iran,Iran
2024-02-03,Cape Verde,South Africa,South Africa,Cape Verde
2024-02-03,Qatar,Uzbekistan,Qatar,Uzbekistan
2024-02-07,Nigeria,South Africa,Nigeria,Nigeria
2024-03-23,Tunisia,Croatia,Croatia,Croatia
2024-03-26,New Zealand,Tunisia,Tunisia,New Zealand
2024-03-26,Wales,Poland,Poland,Poland
2024-03-26,Georgia,Greece,Georgia,Georgia
2024-03-26,Turks and Caicos Islands,Anguilla,Anguilla,Turks and Caicos Islands
2024-03-26,British Virgin Islands,United States Virgin Islands,British Virgin Islands,British Virgin Islands
2024-06-11,Lithuania,Estonia,Estonia,Lithuania
2024-07-01,Portugal,Slovenia,Portugal,Slovenia
2024-07-04,Argentina,Ecuador,Argentina,Argentina
2024-07-05,Portugal,France,France,France
2024-07-05,Venezuela,Canada,Canada,Venezuela
2024-07-06,England,Switzerland,England,England
2024-07-06,Uruguay,Brazil,Uruguay,Uruguay
2024-07-13,Canada,Uruguay,Uruguay,Canada
2024-09-08,Tajikistan,Philippines,Tajikistan,Unknown
2024-09-10,Cambodia,Sri Lanka,Sri Lanka,Cambodia
2025-06-08,Portugal,Spain,Portugal,Portugal
2025-06-28,Panama,Honduras,Honduras,Panama
2025-06-29,Canada,Guatemala,Guatemala,Canada
2025-06-29,United States,Costa Rica,United States,Costa Rica
2025-07-13,Gozo,Shetland,Gozo,Gozo
2025-07-17,Gozo,Western Isles,Gozo,Unknown
2025-08-13,United States Virgin Islands,Turks and Caicos Islands,United States Virgin Islands,Unknown
2025-11-13,Iran,Cape Verde,Iran,Unknown
2025-11-16,Nigeria,DR Congo,DR Congo,Nigeria
2025-11-17,Cape Verde,Egypt,Egypt,Unknown
2025-11-18,Iran,Uzbekistan,Uzbekistan,Unknown
2025-11-23,Papua New Guinea,Vanuatu,Vanuatu,Unknown
2025-11-25,Palestine,Libya,Palestine,Palestine
2025-11-26,Oman,Somalia,Oman,Oman
2025-11-26,Comoros,Yemen,Comoros,Yemen
2025-12-12,Algeria,United Arab Emirates,United Arab Emirates,Algeria
2026-01-03,Mali,Tunisia,Mali,Tunisia
2026-01-14,Morocco,Nigeria,Morocco,Morocco
2026-01-17,Egypt,Nigeria,Nigeria,Nigeria
2026-03-26,Wales,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
2026-03-26,Czech Republic,Republic of Ireland,Czech Republic,Republic of Ireland
2026-03-27,Kenya,Estonia,Estonia,Estonia
2026-03-28,Namibia,Comoros,Namibia,Comoros
2026-03-30,Azerbaijan,Sierra Leone,Azerbaijan,Azerbaijan
2026-03-30,Cape Verde,Finland,Cape Verde,Cape Verde
2026-03-30,Gabon,Trinidad and Tobago,Gabon,Trinidad and Tobago
2026-03-30,Uzbekistan,Venezuela,Uzbekistan,Venezuela
2026-03-31,Bosnia and Herzegovina,Italy,Bosnia and Herzegovina,Bosnia and Herzegovina
2026-03-31,Czech Republic,Denmark,Czech Republic,Denmark
2026-06-06,Lithuania,Latvia,Lithuania,Lithuania
2026-06-29,Germany,Paraguay,Paraguay,Germany
2026-06-29,Netherlands,Morocco,Morocco,Netherlands
2026-07-03,Australia,Egypt,Egypt,Australia
2026-07-07,Switzerland,Colombia,Switzerland,Switzerland
